corridor,year,scenario,ref_electricity_MWh,case_electricity_MWh,delta_electricity_MWh,ref_avg_electrification_pct,case_avg_electrification_pct,delta_electrification_pct
Austria-Germany,2030,case_20251028_091411_var_uni,6698.181162000002,6841.223879000002,143.04271700000027,54.80091865754639,55.5468419253499,0.7459232678035121
Austria-Germany,2030,case_20251028_091502_uni_var,6698.181162000002,5450.906175,-1247.2749870000016,54.80091865754639,42.75924983979201,-12.041668817754378
Austria-Germany,2030,case_20251028_091635_uni_uni,6698.181162000002,5803.280529,-894.900633000002,54.80091865754639,44.80994786852449,-9.990970789021901
Austria-Germany,2040,case_20251028_091411_var_uni,16353.363064000003,16584.211574000008,230.84851000000526,94.27669941519977,95.18792868952809,0.9112292743283206
Austria-Germany,2040,case_20251028_091502_uni_var,16353.363064000003,16312.465783000005,-40.89728099999775,94.27669941519977,94.11526540946315,-0.16143400573662348
Austria-Germany,2040,case_20251028_091635_uni_uni,16353.363064000003,16392.406319,39.04325499999868,94.27669941519977,94.43081501647035,0.15411560127057555
Austria-Italy,2030,case_20251028_091411_var_uni,4719.929490000002,4788.468295000003,68.53880500000105,53.030502444651404,53.81757986646171,0.7870774218103094
Austria-Italy,2030,case_20251028_091502_uni_var,4719.929490000002,4079.046490000001,-640.8830000000012,53.030502444651404,46.03371459643382,-6.996787848217586
Austria-Italy,2030,case_20251028_091635_uni_uni,4719.929490000002,4028.2806550000014,-691.6488350000009,53.030502444651404,45.41542918820914,-7.615073256442265
Austria-Italy,2040,case_20251028_091411_var_uni,10003.863676,9456.881942000002,-546.981733999999,99.24899381827754,93.71461428736416,-5.534379530913384
Austria-Italy,2040,case_20251028_091502_uni_var,10003.863676,10040.918695000004,37.055019000003085,99.24899381827754,99.6239177528237,0.37492393454616035
Austria-Italy,2040,case_20251028_091635_uni_uni,10003.863676,9814.334968000003,-189.528707999998,99.24899381827754,97.3313359968208,-1.9176578214567428
Germany-Denmark,2030,case_20251028_091411_var_uni,3669.971829999999,3797.9555389999987,127.98370899999964,40.056941171030324,40.63491674582619,0.5779755747958646
Germany-Denmark,2030,case_20251028_091502_uni_var,3669.971829999999,3372.872903,-297.0989269999991,40.056941171030324,38.120391127458824,-1.9365500435715006
Germany-Denmark,2030,case_20251028_091635_uni_uni,3669.971829999999,3597.739878999999,-72.23195100000021,40.056941171030324,37.11644347043573,-2.940497700594591
Germany-Denmark,2040,case_20251028_091411_var_uni,12676.827820000002,12907.676330000006,230.84851000000344,94.27669941519977,95.18792868952809,0.9112292743283206
Germany-Denmark,2040,case_20251028_091502_uni_var,12676.827820000002,12635.930539000005,-40.89728099999775,94.27669941519977,94.11526540946315,-0.16143400573662348
Germany-Denmark,2040,case_20251028_091635_uni_uni,12676.827820000002,12715.871075000003,39.0432550000005,94.27669941519977,94.43081501647035,0.15411560127057555
Norway-Sweden,2030,case_20251028_091411_var_uni,669.3939159999998,669.3939159999998,0.0,100.0,100.0,0.0
Norway-Sweden,2030,case_20251028_091502_uni_var,669.3939159999998,623.657487,-45.736428999999816,100.0,95.75700560823303,-4.24299439176697
Norway-Sweden,2030,case_20251028_091635_uni_uni,669.3939159999998,590.697645,-78.6962709999998,100.0,92.69930242026606,-7.300697579733935
Norway-Sweden,2040,case_20251028_091411_var_uni,766.1222129999996,766.1222129999996,0.0,100.0,100.0,0.0
Norway-Sweden,2040,case_20251028_091502_uni_var,766.1222129999996,766.1222129999996,0.0,100.0,100.0,0.0
Norway-Sweden,2040,case_20251028_091635_uni_uni,766.1222129999996,766.1222129999996,0.0,100.0,100.0,0.0
