scenario,country,ref_electricity_MWh,case_electricity_MWh,delta_electricity_MWh,pct_change_electricity,ref_electrification_pct,case_electrification_pct,delta_electrification_pct,ref_total_fuel_MWh,case_total_fuel_MWh,delta_total_fuel_MWh
case_20251028_091344_var_var,AT,5136.416489000001,5136.416489000001,0.0,0.0,100.0,100.0,0.0,5136.416489000001,5136.416489000001,0.0
case_20251028_091344_var_var,DE,11216.946575000002,11216.946575000002,0.0,0.0,88.55339883039953,88.55339883039953,0.0,12666.873009000003,12666.873009000003,0.0
case_20251028_091344_var_var,DK,1459.881245,1459.881245,0.0,0.0,100.0,100.0,0.0,1459.881245,1459.881245,0.0
case_20251028_091344_var_var,IT,4867.447187000001,4867.447187000001,0.0,0.0,98.49798763655507,98.49798763655507,0.0,4941.671707,4941.671707,0.0
case_20251028_091344_var_var,NO,149.277153,149.277153,0.0,0.0,100.0,100.0,0.0,149.277153,149.277153,0.0
case_20251028_091344_var_var,SE,616.8450599999996,616.8450599999996,0.0,0.0,100.0,100.0,0.0,616.8450599999996,616.8450599999996,0.0
case_20251028_091411_var_uni,AT,5136.416489000001,5136.416489000001,0.0,0.0,100.0,100.0,0.0,5136.416489000001,5136.416489000001,0.0
case_20251028_091411_var_uni,DE,11216.946575000002,11447.795085000005,230.84851000000344,2.0580334269801352,88.55339883039953,90.37585737905617,1.8224585486566411,12666.873009000003,12666.873009000004,1.8189894035458565e-12
case_20251028_091411_var_uni,DK,1459.881245,1459.881245,0.0,0.0,100.0,100.0,0.0,1459.881245,1459.881245,0.0
case_20251028_091411_var_uni,IT,4867.447187000001,4320.465453000001,-546.981734,-11.237548410610005,98.49798763655507,87.4292285747283,-11.068759061826768,4941.671707,4941.671708000001,1.0000003385357559e-06
case_20251028_091411_var_uni,NO,149.277153,149.277153,0.0,0.0,100.0,100.0,0.0,149.277153,149.277153,0.0
case_20251028_091411_var_uni,SE,616.8450599999996,616.8450599999996,0.0,0.0,100.0,100.0,0.0,616.8450599999996,616.8450599999996,0.0
case_20251028_091502_uni_var,AT,5136.416489000001,5136.416489000001,0.0,0.0,100.0,100.0,0.0,5136.416489000001,5136.416489000001,0.0
case_20251028_091502_uni_var,DE,11216.946575000002,11176.049294000004,-40.89728099999775,-0.3646026191401178,88.55339883039953,88.23053081892628,-0.32286801147324695,12666.873009000003,12666.873009000004,1.8189894035458565e-12
case_20251028_091502_uni_var,DK,1459.881245,1459.881245,0.0,0.0,100.0,100.0,0.0,1459.881245,1459.881245,0.0
case_20251028_091502_uni_var,IT,4867.447187000001,4904.502206000002,37.055019000001266,0.7612824048500819,98.49798763655507,99.2478355056474,0.7498478690923349,4941.671707,4941.671706000002,-9.999985195463523e-07
case_20251028_091502_uni_var,NO,149.277153,149.277153,0.0,0.0,100.0,100.0,0.0,149.277153,149.277153,0.0
case_20251028_091502_uni_var,SE,616.8450599999996,616.8450599999996,0.0,0.0,100.0,100.0,0.0,616.8450599999996,616.8450599999996,0.0
case_20251028_091635_uni_uni,AT,5136.416489000001,5136.416489000001,0.0,0.0,100.0,100.0,0.0,5136.416489000001,5136.416489000001,0.0
case_20251028_091635_uni_uni,DE,11216.946575000002,11255.989830000002,39.0432550000005,0.34807382507302786,88.55339883039953,88.86163003294068,0.3082312025411511,12666.873009000003,12666.873009000003,0.0
case_20251028_091635_uni_uni,DK,1459.881245,1459.881245,0.0,0.0,100.0,100.0,0.0,1459.881245,1459.881245,0.0
case_20251028_091635_uni_uni,IT,4867.447187000001,4677.918479000001,-189.52870799999982,-3.8938010155753497,98.49798763655507,94.66267199364161,-3.835315642913457,4941.671707,4941.671707,0.0
case_20251028_091635_uni_uni,NO,149.277153,149.277153,0.0,0.0,100.0,100.0,0.0,149.277153,149.277153,0.0
case_20251028_091635_uni_uni,SE,616.8450599999996,616.8450599999996,0.0,0.0,100.0,100.0,0.0,616.8450599999996,616.8450599999996,0.0
