case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251028_091344_var_var,0,2020,245864.98393699998,3284.37397,16421.86985,259002.47981699998
case_20251028_091344_var_var,0,2022,31190.185367,3284.37397,259002.47981699998,286908.29121399997
case_20251028_091344_var_var,0,2024,28980.15067,3284.37397,286908.29121399997,312604.067914
case_20251028_091344_var_var,0,2026,28826.422293,3284.37397,312604.067914,338146.116237
case_20251028_091344_var_var,0,2028,23775.254559,3284.37397,338146.116237,358636.996826
case_20251028_091344_var_var,0,2030,208154.819866,245864.98393699998,358636.996826,320926.832755
case_20251028_091344_var_var,0,2032,16984.799781,31190.185367,320926.832755,306721.447169
case_20251028_091344_var_var,0,2034,16779.036856,28980.15067,306721.447169,294520.333355
case_20251028_091344_var_var,0,2036,10451.513585,28826.422293,294520.333355,276145.424647
case_20251028_091344_var_var,0,2038,10299.131528,23775.254559,276145.424647,262669.301616
case_20251028_091344_var_var,0,2040,173955.083892,208154.819866,262669.301616,228469.565642
case_20251028_091344_var_var,0,2042,4168.152673,16984.799781,228469.565642,215652.918534
case_20251028_091344_var_var,0,2044,953.438318,16779.036856,215652.918534,199827.319996
case_20251028_091344_var_var,0,2046,931.8734069999999,10451.513585,199827.319996,190307.679818
case_20251028_091344_var_var,0,2048,0.0,10299.131528,190307.679818,180008.54829
case_20251028_091344_var_var,0,2050,145121.849746,173955.083892,180008.54829,151175.314144
case_20251028_091344_var_var,0,2052,0.0,4168.152673,151175.314144,147007.161471
case_20251028_091344_var_var,0,2054,0.0,953.438318,147007.161471,146053.723153
case_20251028_091344_var_var,0,2056,0.0,931.8734069999999,146053.723153,145121.849746
case_20251028_091344_var_var,0,2058,0.0,0.0,145121.849746,145121.849746
case_20251028_091344_var_var,0,2060,0.0,25081.642002,145121.849746,120040.207744
case_20251028_091344_var_var,1,2020,4488.6203399999995,0.0,0.0,4488.6203399999995
case_20251028_091344_var_var,1,2022,7716.836371,0.0,4488.6203399999995,12205.456711
case_20251028_091344_var_var,1,2024,10264.906506,0.0,12205.456711,22470.363217
case_20251028_091344_var_var,1,2026,13079.623253,0.0,22470.363217,35549.98647
case_20251028_091344_var_var,1,2028,21114.796361,0.0,35549.98647,56664.782831
case_20251028_091344_var_var,1,2030,22463.289331,4488.6203399999995,56664.782831,74639.451822
case_20251028_091344_var_var,1,2032,31716.854811,7716.836371,74639.451822,98639.470262
case_20251028_091344_var_var,1,2034,32639.515985000002,10264.906506,98639.470262,121014.079741
case_20251028_091344_var_var,1,2036,40351.917178,13079.623253,121014.079741,148286.373666
case_20251028_091344_var_var,1,2038,40483.44921,21114.796361,148286.373666,167655.026515
case_20251028_091344_var_var,1,2040,47664.115139,22463.289331,167655.026515,192855.852323
case_20251028_091344_var_var,1,2042,46939.566544,31716.854811,192855.852323,208078.564056
case_20251028_091344_var_var,1,2044,50154.510545,32639.515985000002,208078.564056,225593.558616
case_20251028_091344_var_var,1,2046,49283.603301,40351.917178,225593.558616,234525.244739
case_20251028_091344_var_var,1,2048,49720.60104,40483.44921,234525.244739,243762.396569
case_20251028_091344_var_var,1,2050,49382.539035,47664.115139,243762.396569,245480.820465
case_20251028_091344_var_var,1,2052,48723.461867,46939.566544,245480.820465,247264.715788
case_20251028_091344_var_var,1,2054,48368.102815,50154.510545,247264.715788,245478.308058
case_20251028_091344_var_var,1,2056,47683.312289,49283.603301,245478.308058,243878.017046
case_20251028_091344_var_var,1,2058,47280.871806,49720.60104,243878.017046,241438.287812
case_20251028_091344_var_var,1,2060,23280.480719,28247.985956,241438.287812,236470.782575
