case,infrastructure,vehicle_segments,weighted_driving_time,weighted_total_break,weighted_charging_time,weighted_extra_break,total_energy_kwh
Base case,slow_charging,672125.1673569999,494.61543374995955,1063.9199871499163,1063.7280300219222,0.19195712799419917,71495838020.08162
Base case,fast_charging,669287.472599,495.2671726802992,106.9608018629319,106.7864564230683,0.1743454398635993,71470837527.19864
Base case,diesel,619136.6403960001,539.4829555995757,2502.468269958044,2502.4657545983487,0.002515359695062777,15493682400080.629
Uniform network fees,slow_charging,668523.170282,499.176542637012,1073.898325124962,1073.705328788448,0.19299633651413414,71779689035.03302
Uniform network fees,fast_charging,666684.4295719999,499.31376028873234,107.80929853590484,107.63246374903754,0.17683478686730025,71756887697.95605
Uniform network fees,diesel,789099.371174,439.28317233269973,2032.7686066438578,2032.766990413176,0.0016162306815660113,16040551538783.016
Uniform electricity prices,slow_charging,670181.830866,491.1313418058461,1056.5672503648577,1056.396531694366,0.170718670491564,70797776173.14229
Uniform electricity prices,fast_charging,664917.901777,493.0861023968899,106.66070140505573,106.49336225490676,0.16733915014899733,70809342983.71056
Uniform electricity prices,diesel,618822.2991210001,514.1575158845764,2397.2852194132397,2397.2824005872912,0.002818825948641002,14834918067737.379
Uniform electricity prices and network fees,slow_charging,671389.1082629999,500.68226521296344,1081.1848312359207,1081.0123787037521,0.1724525321683928,72577993695.91765
Uniform electricity prices and network fees,fast_charging,666186.548006,503.7893984749304,109.11023398713883,108.94249042320979,0.16774356392903753,72576021626.21486
Uniform electricity prices and network fees,diesel,617198.244345,519.3764813883129,2418.0083325142677,2418.005435074172,0.0028974400958309845,14923887093444.47
